"","Time","Area","Value","Metric","Type"
"187","1995K4"," Vest- og Sydsjælland",22.2,"Index","Vacation house"
"188","1995K4"," Fyn",30.5,"Index","Vacation house"
"189","1995K4"," Sydjylland",34.6,"Index","Vacation house"
"190","1995K4"," Østjylland",28.6,"Index","Vacation house"
"191","1995K4"," Vestjylland",43.8,"Index","Vacation house"
"192","1995K4"," Nordjylland",34.4,"Index","Vacation house"
"193","1996K1","Hele landet",32.5,"Index","Vacation house"
"194","1996K1"," Byen København",0,"Index","Vacation house"
"195","1996K1"," Københavns omegn",0,"Index","Vacation house"
"196","1996K1"," Nordsjælland",20.2,"Index","Vacation house"
"197","1996K1"," Bornholm",0,"Index","Vacation house"
"198","1996K1"," Østsjælland",21.3,"Index","Vacation house"
"199","1996K1"," Vest- og Sydsjælland",24.6,"Index","Vacation house"
"200","1996K1"," Fyn",33.4,"Index","Vacation house"
"201","1996K1"," Sydjylland",39.2,"Index","Vacation house"
"202","1996K1"," Østjylland",30,"Index","Vacation house"
"203","1996K1"," Vestjylland",47.5,"Index","Vacation house"
"204","1996K1"," Nordjylland",35.2,"Index","Vacation house"
"205","1996K2","Hele landet",33.6,"Index","Vacation house"
"206","1996K2"," Byen København",0,"Index","Vacation house"
"207","1996K2"," Københavns omegn",0,"Index","Vacation house"
"208","1996K2"," Nordsjælland",20.9,"Index","Vacation house"
"209","1996K2"," Bornholm",0,"Index","Vacation house"
"210","1996K2"," Østsjælland",22.9,"Index","Vacation house"
"211","1996K2"," Vest- og Sydsjælland",25.2,"Index","Vacation house"
"212","1996K2"," Fyn",35.9,"Index","Vacation house"
"213","1996K2"," Sydjylland",41.2,"Index","Vacation house"
"214","1996K2"," Østjylland",31.6,"Index","Vacation house"
"215","1996K2"," Vestjylland",46.8,"Index","Vacation house"
"216","1996K2"," Nordjylland",36.6,"Index","Vacation house"
"217","1996K3","Hele landet",33.5,"Index","Vacation house"
"218","1996K3"," Byen København",0,"Index","Vacation house"
"219","1996K3"," Københavns omegn",0,"Index","Vacation house"
"220","1996K3"," Nordsjælland",21.4,"Index","Vacation house"
"221","1996K3"," Bornholm",0,"Index","Vacation house"
"222","1996K3"," Østsjælland",22,"Index","Vacation house"
"223","1996K3"," Vest- og Sydsjælland",24.8,"Index","Vacation house"
"224","1996K3"," Fyn",36.1,"Index","Vacation house"
"225","1996K3"," Sydjylland",40.5,"Index","Vacation house"
"226","1996K3"," Østjylland",32.1,"Index","Vacation house"
"227","1996K3"," Vestjylland",47.1,"Index","Vacation house"
"228","1996K3"," Nordjylland",36.2,"Index","Vacation house"
"229","1996K4","Hele landet",34.2,"Index","Vacation house"
"230","1996K4"," Byen København",0,"Index","Vacation house"
"231","1996K4"," Københavns omegn",0,"Index","Vacation house"
"232","1996K4"," Nordsjælland",21.7,"Index","Vacation house"
"233","1996K4"," Bornholm",0,"Index","Vacation house"
"234","1996K4"," Østsjælland",22.9,"Index","Vacation house"
"235","1996K4"," Vest- og Sydsjælland",25,"Index","Vacation house"
"236","1996K4"," Fyn",38.6,"Index","Vacation house"
"237","1996K4"," Sydjylland",41.6,"Index","Vacation house"
"238","1996K4"," Østjylland",31.6,"Index","Vacation house"
"239","1996K4"," Vestjylland",48,"Index","Vacation house"
"240","1996K4"," Nordjylland",37.1,"Index","Vacation house"
"241","1997K1","Hele landet",35.4,"Index","Vacation house"
"242","1997K1"," Byen København",0,"Index","Vacation house"
"243","1997K1"," Københavns omegn",0,"Index","Vacation house"
"244","1997K1"," Nordsjælland",22.6,"Index","Vacation house"
"245","1997K1"," Bornholm",0,"Index","Vacation house"
"246","1997K1"," Østsjælland",23.7,"Index","Vacation house"
"247","1997K1"," Vest- og Sydsjælland",26,"Index","Vacation house"
"248","1997K1"," Fyn",37.9,"Index","Vacation house"
"249","1997K1"," Sydjylland",42.4,"Index","Vacation house"
"250","1997K1"," Østjylland",33.5,"Index","Vacation house"
"251","1997K1"," Vestjylland",49.6,"Index","Vacation house"
"252","1997K1"," Nordjylland",38,"Index","Vacation house"
"253","1997K2","Hele landet",36.2,"Index","Vacation house"
"254","1997K2"," Byen København",0,"Index","Vacation house"
"255","1997K2"," Københavns omegn",0,"Index","Vacation house"
"256","1997K2"," Nordsjælland",22.9,"Index","Vacation house"
"257","1997K2"," Bornholm",0,"Index","Vacation house"
"258","1997K2"," Østsjælland",26.2,"Index","Vacation house"
"259","1997K2"," Vest- og Sydsjælland",26.8,"Index","Vacation house"
"260","1997K2"," Fyn",40.1,"Index","Vacation house"
"261","1997K2"," Sydjylland",42.7,"Index","Vacation house"
"262","1997K2"," Østjylland",34.9,"Index","Vacation house"
"263","1997K2"," Vestjylland",49.3,"Index","Vacation house"
"264","1997K2"," Nordjylland",39.2,"Index","Vacation house"
"265","1997K3","Hele landet",36.6,"Index","Vacation house"
"266","1997K3"," Byen København",0,"Index","Vacation house"
"267","1997K3"," Københavns omegn",0,"Index","Vacation house"
"268","1997K3"," Nordsjælland",23.8,"Index","Vacation house"
"269","1997K3"," Bornholm",0,"Index","Vacation house"
"270","1997K3"," Østsjælland",23.8,"Index","Vacation house"
"271","1997K3"," Vest- og Sydsjælland",26.8,"Index","Vacation house"
"272","1997K3"," Fyn",41.5,"Index","Vacation house"
"273","1997K3"," Sydjylland",43.9,"Index","Vacation house"
"274","1997K3"," Østjylland",35.1,"Index","Vacation house"
"275","1997K3"," Vestjylland",49.6,"Index","Vacation house"
"276","1997K3"," Nordjylland",38.9,"Index","Vacation house"
"277","1997K4","Hele landet",36.4,"Index","Vacation house"
"278","1997K4"," Byen København",0,"Index","Vacation house"
"279","1997K4"," Københavns omegn",0,"Index","Vacation house"
"280","1997K4"," Nordsjælland",23.2,"Index","Vacation house"
"281","1997K4"," Bornholm",0,"Index","Vacation house"
"282","1997K4"," Østsjælland",25.1,"Index","Vacation house"
"283","1997K4"," Vest- og Sydsjælland",26.7,"Index","Vacation house"
"284","1997K4"," Fyn",39.5,"Index","Vacation house"
"285","1997K4"," Sydjylland",42.3,"Index","Vacation house"
"286","1997K4"," Østjylland",36.6,"Index","Vacation house"
"287","1997K4"," Vestjylland",49.3,"Index","Vacation house"
"288","1997K4"," Nordjylland",40.3,"Index","Vacation house"
"289","1998K1","Hele landet",37.1,"Index","Vacation house"
"290","1998K1"," Byen København",0,"Index","Vacation house"
"291","1998K1"," Københavns omegn",0,"Index","Vacation house"
"292","1998K1"," Nordsjælland",27.2,"Index","Vacation house"
"293","1998K1"," Bornholm",0,"Index","Vacation house"
"294","1998K1"," Østsjælland",30,"Index","Vacation house"
"295","1998K1"," Vest- og Sydsjælland",29,"Index","Vacation house"
"296","1998K1"," Fyn",47.9,"Index","Vacation house"
"297","1998K1"," Sydjylland",43.8,"Index","Vacation house"
"298","1998K1"," Østjylland",37.4,"Index","Vacation house"
"299","1998K1"," Vestjylland",54.4,"Index","Vacation house"
"300","1998K1"," Nordjylland",40.2,"Index","Vacation house"
"301","1998K2","Hele landet",38.5,"Index","Vacation house"
"302","1998K2"," Byen København",0,"Index","Vacation house"
"303","1998K2"," Københavns omegn",0,"Index","Vacation house"
"304","1998K2"," Nordsjælland",28.4,"Index","Vacation house"
"305","1998K2"," Bornholm",0,"Index","Vacation house"
"306","1998K2"," Østsjælland",29.3,"Index","Vacation house"
"307","1998K2"," Vest- og Sydsjælland",30.6,"Index","Vacation house"
"308","1998K2"," Fyn",49.9,"Index","Vacation house"
"309","1998K2"," Sydjylland",45.2,"Index","Vacation house"
"310","1998K2"," Østjylland",38.5,"Index","Vacation house"
"311","1998K2"," Vestjylland",54.1,"Index","Vacation house"
"312","1998K2"," Nordjylland",42.7,"Index","Vacation house"
"313","1998K3","Hele landet",39.4,"Index","Vacation house"
"314","1998K3"," Byen København",0,"Index","Vacation house"
"315","1998K3"," Københavns omegn",0,"Index","Vacation house"
"316","1998K3"," Nordsjælland",30,"Index","Vacation house"
"317","1998K3"," Bornholm",0,"Index","Vacation house"
"318","1998K3"," Østsjælland",30.3,"Index","Vacation house"
"319","1998K3"," Vest- og Sydsjælland",30.5,"Index","Vacation house"
"320","1998K3"," Fyn",50.4,"Index","Vacation house"
"321","1998K3"," Sydjylland",45.8,"Index","Vacation house"
"322","1998K3"," Østjylland",41.2,"Index","Vacation house"
"323","1998K3"," Vestjylland",52.4,"Index","Vacation house"
"324","1998K3"," Nordjylland",43.6,"Index","Vacation house"
"325","1998K4","Hele landet",39.7,"Index","Vacation house"
"326","1998K4"," Byen København",0,"Index","Vacation house"
"327","1998K4"," Københavns omegn",0,"Index","Vacation house"
"328","1998K4"," Nordsjælland",30.2,"Index","Vacation house"
"329","1998K4"," Bornholm",0,"Index","Vacation house"
"330","1998K4"," Østsjælland",32.1,"Index","Vacation house"
"331","1998K4"," Vest- og Sydsjælland",31,"Index","Vacation house"
"332","1998K4"," Fyn",51.2,"Index","Vacation house"
"333","1998K4"," Sydjylland",46.4,"Index","Vacation house"
"334","1998K4"," Østjylland",41.5,"Index","Vacation house"
"335","1998K4"," Vestjylland",51.2,"Index","Vacation house"
"336","1998K4"," Nordjylland",45,"Index","Vacation house"
"337","1999K1","Hele landet",39.9,"Index","Vacation house"
"338","1999K1"," Byen København",0,"Index","Vacation house"
"339","1999K1"," Københavns omegn",0,"Index","Vacation house"
"340","1999K1"," Nordsjælland",30.4,"Index","Vacation house"
"341","1999K1"," Bornholm",0,"Index","Vacation house"
"342","1999K1"," Østsjælland",31.6,"Index","Vacation house"
"343","1999K1"," Vest- og Sydsjælland",31.7,"Index","Vacation house"
"344","1999K1"," Fyn",51.8,"Index","Vacation house"
"345","1999K1"," Sydjylland",49.5,"Index","Vacation house"
"346","1999K1"," Østjylland",40.4,"Index","Vacation house"
"347","1999K1"," Vestjylland",53,"Index","Vacation house"
"348","1999K1"," Nordjylland",44.7,"Index","Vacation house"
"349","1999K2","Hele landet",41.6,"Index","Vacation house"
"350","1999K2"," Byen København",0,"Index","Vacation house"
"351","1999K2"," Københavns omegn",0,"Index","Vacation house"
"352","1999K2"," Nordsjælland",31.9,"Index","Vacation house"
"353","1999K2"," Bornholm",0,"Index","Vacation house"
"354","1999K2"," Østsjælland",31.8,"Index","Vacation house"
"355","1999K2"," Vest- og Sydsjælland",32.9,"Index","Vacation house"
"356","1999K2"," Fyn",54.3,"Index","Vacation house"
"357","1999K2"," Sydjylland",48.5,"Index","Vacation house"
"358","1999K2"," Østjylland",43.5,"Index","Vacation house"
"359","1999K2"," Vestjylland",55.9,"Index","Vacation house"
"360","1999K2"," Nordjylland",46.1,"Index","Vacation house"
"361","1999K3","Hele landet",43.1,"Index","Vacation house"
"362","1999K3"," Byen København",0,"Index","Vacation house"
"363","1999K3"," Københavns omegn",0,"Index","Vacation house"
"364","1999K3"," Nordsjælland",32,"Index","Vacation house"
"365","1999K3"," Bornholm",0,"Index","Vacation house"
"366","1999K3"," Østsjælland",35.9,"Index","Vacation house"
"367","1999K3"," Vest- og Sydsjælland",33.8,"Index","Vacation house"
"368","1999K3"," Fyn",56.5,"Index","Vacation house"
"369","1999K3"," Sydjylland",49.2,"Index","Vacation house"
"370","1999K3"," Østjylland",44.2,"Index","Vacation house"
"371","1999K3"," Vestjylland",57.3,"Index","Vacation house"
"372","1999K3"," Nordjylland",49,"Index","Vacation house"
"373","1999K4","Hele landet",41.6,"Index","Vacation house"
"374","1999K4"," Byen København",0,"Index","Vacation house"
"375","1999K4"," Københavns omegn",0,"Index","Vacation house"
"376","1999K4"," Nordsjælland",30.5,"Index","Vacation house"
"377","1999K4"," Bornholm",0,"Index","Vacation house"
"378","1999K4"," Østsjælland",35.2,"Index","Vacation house"
"379","1999K4"," Vest- og Sydsjælland",33.1,"Index","Vacation house"
"380","1999K4"," Fyn",52.1,"Index","Vacation house"
"381","1999K4"," Sydjylland",49.8,"Index","Vacation house"
