"Time","Area","Value","Metric","Category"
"1997K3"," Nordsjælland","3.9","Pct_q","Vacation house"
"1997K3"," Bornholm","0.0","Pct_q","Vacation house"
"1997K3"," Østsjælland","-9.2","Pct_q","Vacation house"
"1997K3"," Vest- og Sydsjælland","0.0","Pct_q","Vacation house"
"1997K3"," Fyn","3.5","Pct_q","Vacation house"
"1997K3"," Sydjylland","2.8","Pct_q","Vacation house"
"1997K3"," Østjylland","0.6","Pct_q","Vacation house"
"1997K3"," Vestjylland","0.6","Pct_q","Vacation house"
"1997K3"," Nordjylland","-0.8","Pct_q","Vacation house"
"1997K4","Hele landet","-0.5","Pct_q","Vacation house"
"1997K4"," Byen København","0.0","Pct_q","Vacation house"
"1997K4"," Københavns omegn","0.0","Pct_q","Vacation house"
"1997K4"," Nordsjælland","-2.5","Pct_q","Vacation house"
"1997K4"," Bornholm","0.0","Pct_q","Vacation house"
"1997K4"," Østsjælland","5.5","Pct_q","Vacation house"
"1997K4"," Vest- og Sydsjælland","-0.4","Pct_q","Vacation house"
"1997K4"," Fyn","-4.8","Pct_q","Vacation house"
"1997K4"," Sydjylland","-3.6","Pct_q","Vacation house"
"1997K4"," Østjylland","4.3","Pct_q","Vacation house"
"1997K4"," Vestjylland","-0.6","Pct_q","Vacation house"
"1997K4"," Nordjylland","3.6","Pct_q","Vacation house"
"1998K1","Hele landet","1.9","Pct_q","Vacation house"
"1998K1"," Byen København","0.0","Pct_q","Vacation house"
"1998K1"," Københavns omegn","0.0","Pct_q","Vacation house"
"1998K1"," Nordsjælland","17.2","Pct_q","Vacation house"
"1998K1"," Bornholm","0.0","Pct_q","Vacation house"
"1998K1"," Østsjælland","19.5","Pct_q","Vacation house"
"1998K1"," Vest- og Sydsjælland","8.6","Pct_q","Vacation house"
"1998K1"," Fyn","21.3","Pct_q","Vacation house"
"1998K1"," Sydjylland","3.5","Pct_q","Vacation house"
"1998K1"," Østjylland","2.2","Pct_q","Vacation house"
"1998K1"," Vestjylland","10.3","Pct_q","Vacation house"
"1998K1"," Nordjylland","-0.2","Pct_q","Vacation house"
"1998K2","Hele landet","3.8","Pct_q","Vacation house"
"1998K2"," Byen København","0.0","Pct_q","Vacation house"
"1998K2"," Københavns omegn","0.0","Pct_q","Vacation house"
"1998K2"," Nordsjælland","4.4","Pct_q","Vacation house"
"1998K2"," Bornholm","0.0","Pct_q","Vacation house"
"1998K2"," Østsjælland","-2.3","Pct_q","Vacation house"
"1998K2"," Vest- og Sydsjælland","5.5","Pct_q","Vacation house"
"1998K2"," Fyn","4.2","Pct_q","Vacation house"
"1998K2"," Sydjylland","3.2","Pct_q","Vacation house"
"1998K2"," Østjylland","2.9","Pct_q","Vacation house"
"1998K2"," Vestjylland","-0.6","Pct_q","Vacation house"
"1998K2"," Nordjylland","6.2","Pct_q","Vacation house"
"1998K3","Hele landet","2.3","Pct_q","Vacation house"
"1998K3"," Byen København","0.0","Pct_q","Vacation house"
"1998K3"," Københavns omegn","0.0","Pct_q","Vacation house"
"1998K3"," Nordsjælland","5.6","Pct_q","Vacation house"
"1998K3"," Bornholm","0.0","Pct_q","Vacation house"
"1998K3"," Østsjælland","3.4","Pct_q","Vacation house"
"1998K3"," Vest- og Sydsjælland","-0.3","Pct_q","Vacation house"
"1998K3"," Fyn","1.0","Pct_q","Vacation house"
"1998K3"," Sydjylland","1.3","Pct_q","Vacation house"
"1998K3"," Østjylland","7.0","Pct_q","Vacation house"
"1998K3"," Vestjylland","-3.1","Pct_q","Vacation house"
"1998K3"," Nordjylland","2.1","Pct_q","Vacation house"
